stats,fit,fit_clim,fore,fore_clim,change,type,roi
nRMSE,0.10072560175823748,0.07796790775014974,0.15826564322975767,0.1593029069875491,0.057540041471520184,AG,humnokericea_AG_1000
corr,0.9254042393861082,0.9557645741744821,0.8241694919710711,0.828638578338019,-0.10123474741503702,AG,humnokericec_AG_1000
R2,0.8563730062737813,0.9134859212469292,0.6792553514958536,0.6866418935100531,-0.17711765477792774,AG,humnokericec_AG_1000
RMSE,0.022318680689917658,0.015626314233464927,0.027607533721830245,0.028765207521247282,0.005288853031912587,AG,humnokericec_AG_1000
nRMSE,0.13140191338805393,0.09200040172660619,0.162540196948671,0.16935603675730881,0.03113828356061707,AG,humnokericec_AG_1000
corr,0.9332776402765817,0.9404658756990465,0.9349699029122767,0.9059575668762523,0.0016922626356949966,DB,huyckpreserveny_DB_1000
R2,0.8710071538402245,0.8844760633543742,0.874168719351792,0.8207591129803391,0.0031615655115674324,DB,huyckpreserveny_DB_1000
RMSE,0.008035174635453203,0.007605652301690092,0.008908748501030732,0.009472487461214492,8.735738655775288e-4,DB,huyckpreserveny_DB_1000
nRMSE,0.1107742258787398,0.10485276104706041,0.12281745743219949,0.13058925452998832,0.012043231553459696,DB,huyckpreserveny_DB_1000
corr,0.6144026514832508,0.7370363465262674,0.6750548898952027,0.530039990117591,0.060652238411951886,EN,huyckpreserveny_EN_1000
R2,0.37749061814964896,0.5432225761007882,0.45569910437142425,0.280942391123856,0.07820848622177529,EN,huyckpreserveny_EN_1000
RMSE,0.009410065097954503,0.008057633162834489,0.010221551341970671,0.011213380136502239,8.114862440161685e-4,EN,huyckpreserveny_EN_1000
nRMSE,0.19978376578019705,0.17107047398602993,0.21701231585086753,0.23806969319290341,0.01722855007067048,EN,huyckpreserveny_EN_1000
corr,0.6214754755776097,0.7373566643304815,0.3622618822610288,0.5224073258527421,-0.25921359331658095,GR,ibp_GR_1000
R2,0.3862317667444162,0.5436948504325744,0.1312336713393035,0.272909414104613,-0.25499809540511276,GR,ibp_GR_1000
RMSE,0.006075453397418017,0.005076251223170863,0.008180759663620286,0.00745548284594138,0.00210530626620227,GR,ibp_GR_1000
nRMSE,0.1843001182289705,0.15398911643169605,0.2481650133056357,0.22616359308179507,0.0638648950766652,GR,ibp_GR_1000
corr,0.7788900281053618,0.8235273980304966,0.8228292340108093,0.8474130637711527,0.04393920590544753,SH,ibp_SH_1000
R2,0.6066696758819715,0.67819737530688,0.6770479483428153,0.7181089006500118,0.07037827246084383,SH,ibp_SH_1000
RMSE,0.01412791956018674,0.012069802860897377,0.009486700162155637,0.009680921497897501,-0.004641219398031103,SH,ibp_SH_1000
nRMSE,0.1955529657031079,0.16706534425293265,0.1313110782902255,0.13399941170303542,-0.06424188741288239,SH,ibp_SH_1000
