date,pheno,env,env_sd,year,site,pheno_sd,pheno_mis,value,lower,upper,mismatch_actual,mismatch_model,mismatch_model_upper,mismatch_model_lower,pred_error
2020-04-27,0.33566,9.185,0.01,2020,1,0.01,0,0.345375017026471,0.32852156036530783,0.36222847368763417,0.33566,0.345375017026471,0.36222847368763417,0.32852156036530783,0.009715017026470985
2020-04-28,0.3368,8.555,0.01,2020,1,0.01,0,0.3466547665406327,0.3297989997358598,0.3635105333454056,0.3368,0.3466547665406327,0.3635105333454056,0.3297989997358598,0.00985476654063272
2020-04-29,0.33338,6.83,0.01,2020,1,0.01,0,0.3479705544306406,0.33111202385900784,0.3648290850022734,0.33338,0.3479705544306406,0.3648290850022734,0.33111202385900784,0.014590554430640612
2020-04-30,0.33902,6.535,0.01,2020,1,0.01,0,0.3493207181597053,0.33245904308008734,0.3661823932393232,0.33902,0.3493207181597053,0.3661823932393232,0.33245904308008734,0.010300718159705291
2020-05-01,0.33989,10.440000000000001,0.01,2020,1,0.01,0,0.35070280902550083,0.33383768793870905,0.3675679301122926,0.33989,0.35070280902550083,0.3675679301122926,0.33383768793870905,0.010812809025500802
2020-05-02,0.3409,8.389999999999999,0.01,2020,1,0.01,0,0.35211464024107664,0.33524592514766494,0.36898335533448834,0.3409,0.35211464024107664,0.36898335533448834,0.33524592514766494,0.011214640241076657
2020-05-03,0.3416,13.35,0.01,2020,1,0.01,0,0.35355322057900335,0.33668092431583724,0.37042551684216946,0.3416,0.35355322057900335,0.37042551684216946,0.33668092431583724,0.011953220579003332
2020-05-04,0.34081,14.854999999999999,0.01,2020,1,0.01,0,0.3550155036084979,0.33813984440196365,0.37189116281503215,0.34081,0.3550155036084979,0.37189116281503215,0.33813984440196365,0.014205503608497871
2020-05-05,0.34338,4.66,0.01,2020,1,0.01,0,0.35649973013945757,0.33962089427091807,0.373378566007997,0.34338,0.35649973013945757,0.373378566007997,0.33962089427091807,0.013119730139457553
2020-05-06,0.34162,6.239999999999999,0.01,2020,1,0.01,0,0.35800409014622914,0.3411223967160641,0.37488578357639424,0.34162,0.35800409014622914,0.37488578357639424,0.3411223967160641,0.016384090146229158
2020-05-07,0.34249,8.790000000000001,0.01,2020,1,0.01,0,0.35952620915780104,0.3426421123790782,0.37641030593652386,0.34249,0.35952620915780104,0.37641030593652386,0.3426421123790782,0.01703620915780102
2020-05-08,0.34226,9.435,0.01,2020,1,0.01,0,0.3610634976686836,0.3441775150634411,0.3779494802739262,0.34226,0.3610634976686836,0.3779494802739262,0.3441775150634411,0.01880349766868361
2020-05-09,0.34404,2.305,0.01,2020,1,0.01,0,0.36261253545942296,0.3457251690973212,0.37949990182152477,0.34404,0.36261253545942296,0.37949990182152477,0.3457251690973212,0.018572535459422945
2020-05-10,0.34521,5.535,0.01,2020,1,0.01,0,0.3641712306803063,0.34728312166785147,0.38105933969276123,0.34521,0.3641712306803063,0.38105933969276123,0.34728312166785147,0.018961230680306307
2020-05-11,0.34669,3.295,0.01,2020,1,0.01,0,0.36573713776922695,0.34884893972094994,0.3826253358175039,0.34669,0.36573713776922695,0.3826253358175039,0.34884893972094994,0.01904713776922695
