date,pheno,env,env_sd,year,site,pheno_sd,pheno_mis,value,lower,upper,mismatch_actual,mismatch_model,mismatch_model_upper,mismatch_model_lower,pred_error
2017-09-15,0.3494,24.11,0.01,2017,1,0.01,0,0.339443100448874,0.3199423744774818,0.35894382642026623,0.3494,0.339443100448874,0.35894382642026623,0.3199423744774818,-0.009956899551125997
2017-09-16,0.34332,23.305,0.01,2017,1,0.01,0,0.3382147537142263,0.31878394783819397,0.3576455595902586,0.34332,0.3382147537142263,0.3576455595902586,0.31878394783819397,-0.00510524628577369
2017-09-17,0.34335,21.915,0.01,2017,1,0.01,0,0.33700030613766546,0.3176170280018921,0.3563835842734388,0.34335,0.33700030613766546,0.3563835842734388,0.3176170280018921,-0.006349693862334527
2017-09-18,0.35535,15.04,0.01,2017,1,0.01,0,0.335843435440187,0.316465734258935,0.355221136621439,0.35535,0.335843435440187,0.355221136621439,0.316465734258935,-0.019506564559812978
2017-09-19,0.34547,12.295,0.01,2017,1,0.01,0,0.33473407725173204,0.31532884238939385,0.35413931211407024,0.34547,0.33473407725173204,0.35413931211407024,0.31532884238939385,-0.010735922748267956
2017-09-20,0.34156,19.314999999999998,0.01,2017,1,0.01,0,0.33365736793332357,0.3142002615301221,0.3531144743365251,0.34156,0.33365736793332357,0.3531144743365251,0.3142002615301221,-0.007902632066676407
2017-09-21,0.34055,18.805,0.01,2017,1,0.01,0,0.33273281266970917,0.31319317924389317,0.3522724460955252,0.34055,0.33273281266970917,0.3522724460955252,0.31319317924389317,-0.007817187330290853
2017-09-22,0.33905,19.04,0.01,2017,1,0.01,0,0.3319471540453974,0.31232860638459414,0.35156570170620066,0.33905,0.3319471540453974,0.35156570170620066,0.31232860638459414,-0.0071028459546026435
2017-09-23,0.3432,23.080000000000002,0.01,2017,1,0.01,0,0.3310679864573932,0.3113959228316938,0.3507400500830926,0.3432,0.3310679864573932,0.3507400500830926,0.3113959228316938,-0.01213201354260679
2017-09-24,0.33975,26.66,0.01,2017,1,0.01,0,0.330069508281131,0.3103821984551613,0.3497568181071008,0.33975,0.330069508281131,0.3497568181071008,0.3103821984551613,-0.009680491718868978
